ID Client,Nom du Client,Prénoms du Client,Date de Naissance,Date d’Entrée en Relation,Adresse Postale,Ville,Pays,Continent,Numéro de Téléphone,Code Postal,Email
53,Fischer,Agathe,1943-02-05,2010-02-10,"180, rue de Goncalves",Sainte Claudine,France,Europe,0524528978,46061,mathildeboutin@wanadoo.fr
54,Gros,Édith,1986-10-22,2014-03-06T14:30:56.287485,"77, avenue Lopes",Lopez-la-Forêt,France,Europe,0325834278,40493,gmichel@free.fr
55,Brunet,Pierre,1988-06-21,2011-07-08,rue de Étienne,Saint Antoine-la-Forêt,France,Europe,+33 (0)2 91 98 08 34,12079,mathieusabine@le.fr
56,Ruiz,Charles,2003-05-10,2019-10-15,"35, avenue Alain Colin",Sainte Michelle,France,Europe,,89321,laurent25@sfr.fr
57,Martel,Agnès,1986-10-12,2017-01-01,"61, chemin Guérin",Bourgeois,France,Europe,05 99 10 17 55,45539,luceneveu@thomas.com
58,Denis,Théophile,1948-08-09,2019-09-01,"972, rue Roger Gaillard",Deschamps,France,Europe,0806687621,75821,rogerhumbert@live.com
59,Leleu,Pauline,1963-04-18,2009-10-21,"53, avenue Techer",Sainte NathVille,France,Europe,,96062,suzannede-sousa@bouygtel.fr
60,Imbert,Yves,1951-08-29,2013-01-17,"670, rue William Masse",Lefèvre,France,Europe,+33 (0)2 56 99 81 51,72842,duboisvincent@sfr.fr
61,Hebert,Thibaut,1970-02-16,2014-03-06T14:30:56.287485,"68, rue Joseph",Sainte Margaret,France,Europe,03 16 50 86 77,74165,augusteevrard@ifrance.com
62,Guillon,Laetitia,1953-01-18,2013-08-09,"86, boulevard de Nicolas",Sauvage,France,Europe,+33 5 55 49 35 97,32455,riouisabelle@legrand.com
63,Lefebvre,Cécile,1955-06-18,2010-12-31,"894, chemin de Dias",Fischer,France,Europe,,23166,bessonfranck@thomas.org
64,Georges,Margot,1960-11-01,2016-12-16,"80, avenue Dumont",Roussel,France,Europe,+33 (0)6 41 50 44 89,65706,nathmallet@dubois.net
65,Gaudin,Michèle,1955-10-29,2022-03-07,"373, boulevard Marin",Gay,France,Europe,0145958251,94090,yremy@live.com
66,Blanchet,Catherine,1944-12-28,2014-03-06T14:30:56.287485,"37, rue Alex Techer",Moulindan,France,Europe,0122835096,43232,ccolas@etienne.org
67,Marin,Marthe,1954-11-09,2011-02-15,"927, chemin de Lefèvre",Gimenez,France,Europe,0516236637,88696,valletastrid@lebon.net
68,Fontaine,Philippe,1958-10-13,2016-05-30,"72, boulevard Mahe",BarreBourg,France,Europe,0186940533,15366,hjean@etienne.org
69,Gallet,Danielle,2003-03-11,2019-01-31,chemin Fontaine,Albertdan,France,Europe,+33 2 82 95 30 37,70979,ogillet@pichon.com
70,Benard,Bertrand,1989-11-08,2014-03-06T14:30:56.287485,"82, boulevard Barthelemy",Pineau-la-Forêt,France,Europe,+33 4 77 75 72 89,92550,blegros@yahoo.fr
71,Bousquet,Philippe,1935-11-10,2017-10-18,"262, chemin Christine Turpin",ThibaultVille,France,Europe,+33 2 41 44 27 04,69511,manonmasson@ifrance.com
72,Ferrand,Caroline,1957-06-09,2016-12-12,"906, rue de Delorme",Sainte SusanneBourg,France,Europe,,15839,georgesdenise@denis.com
73,Maillet,Alexandre,2001-07-06,2016-03-28,avenue Lacroix,Saint Lucy,France,Europe,+33 (0)5 68 10 12 65,56704,vidalbenjamin@tiscali.fr
74,Lelièvre,Alexandrie,1990-01-23,2024-02-29,"93, avenue Louis",Besson,France,Europe,+33 (0)1 09 92 57 60,52536,christopherobin@live.com
75,Lecoq,Michèle,1936-09-01,2017-07-01,"103, rue Camille Vasseur",Sainte Lorraineboeuf,France,Europe,0490945677,32532,khuet@tele2.fr
76,Deschamps,Nicole,1937-09-29,2022-11-26,"8, chemin de Pierre",Saint Henri-les-Bains,France,Europe,+33 (0)3 01 85 82 49,58448,zoe33@live.com
77,Regnier,Frédéric,1980-02-28,2009-07-30,"72, avenue Thérèse Lemaire",Gimenez,France,Europe,+33 8 08 31 99 72,08565,astridguichard@masson.fr
78,Pruvost,Claude,1945-10-04,2024-01-15,"74, rue de Briand",Georges,France,Europe,0671748039,82720,claudine24@leroux.com
79,Dijoux,Amélie,1992-03-14,2016-12-17,"417, avenue Pauline Germain",Sainte ZacharieBourg,France,Europe,+33 (0)4 71 97 95 62,94316,jacquetisabelle@wanadoo.fr
80,Carpentier,Joseph,1944-12-25,2017-02-08,"3, boulevard Louise Moulin",BesnardBourg,France,Europe,0161350357,27086,dominiquecollet@pottier.fr
81,Clerc,Agathe,1979-01-25,2021-02-19,"7, avenue Catherine Garcia",Sainte Andrée,France,Europe,0176742061,71883,lucyblanc@fernandez.fr
82,Lévêque,Eugène,1965-09-03,2019-04-05,"821, rue de Perez",Vallée,France,Europe,+33 (0)1 29 03 61 44,17676,timbert@maurice.fr
83,Gomes,Marie,1974-01-20,2017-10-02,boulevard de Joseph,Dumont,France,Europe,0431987166,25513,bretonemmanuel@gmail.com
84,Gomez,Mathilde,1960-09-29,2014-10-12,"62, rue de Thomas",Sainte Jean,France,Europe,01 15 69 17 04,85966,glucas@lenoir.org
85,Andre,Victor,1998-01-24,2020-08-09,"6, avenue Breton",Parent,France,Europe,+33 (0)2 12 88 75 29,55360,sallard@carpentier.net
86,Petitjean,Alexandre,2003-01-16,2009-11-10,"55, rue de Auger",Gaudin,France,Europe,,98883,emmanuellebousquet@normand.com
87,Marques,Constance,1982-04-20,2018-03-29,chemin Inès Daniel,Saint Louis,France,Europe,+33 6 62 40 96 35,73889,maillotmarianne@baron.fr
88,Diallo,Frédéric,1942-01-28,2019-12-17,"54, boulevard de Grenier",Boulay-sur-Didier,France,Europe,02 10 38 52 45,16961,celine38@hotmail.fr
89,Peron,Raymond,1982-10-12,2021-08-25,"6, rue de Delattre",Saint Xavier,France,Europe,06 53 86 51 12,67585,klemonnier@guyon.com
90,Henry,Thérèse,1962-07-29,2017-07-20,"437, chemin de Bonneau",Morin,France,Europe,+33 (0)1 35 34 26 11,50904,bigotmichele@perrot.com
91,Fernandez,Aimé,1964-07-28,2011-04-30,"71, chemin Antoinette Georges",Ledoux,France,Europe,0107948642,06914,egiraud@rolland.com
92,Rocher,Michèle,1935-07-27,2016-09-08,"36, avenue Bernard Jourdan",Lenoirnec,France,Europe,01 46 76 66 61,83672,davidagathe@yahoo.fr
93,Grenier,Sébastien,1946-09-17,2014-03-19,"77, rue Inès Bouchet",Saint Maurice-les-Bains,France,Europe,+33 6 00 26 89 56,96997,susan43@noos.fr
94,De Sousa,Capucine,1938-06-15,2014-03-06T14:30:56.287485,"28, boulevard Gay",Godarddan,France,Europe,0521880117,94920,isaacgarcia@grenier.net
95,Normand,Georges,1990-04-06,2009-11-01,rue Maillot,Sainte Marieboeuf,France,Europe,04 26 47 82 46,64128,chantal96@tiscali.fr
96,Cordier,Aimé,1948-04-21,2020-02-14,"90, avenue de Traore",Hoareau,France,Europe,,61422,courtoisfrancois@live.com
97,Masse,Yves,1934-11-12,2021-01-23,boulevard Éric Mace,Gayboeuf,France,Europe,06 29 80 17 27,25931,yleblanc@aubry.com
98,Tanguy,Emmanuelle,1959-10-17,2022-12-28,"70, rue Mercier",Fabre-sur-Delannoy,France,Europe,+33 (0)1 95 97 94 95,16804,margueritefaivre@barbe.com
99,Bodin,Christophe,1960-04-21,2014-03-06T14:30:56.287485,"44, rue Fleury",Saint Christiane-la-Forêt,France,Europe,+33 (0)2 48 75 42 04,92545,sanchezchristiane@hotmail.fr
100,Berthelot,Claudine,1941-03-11,2022-12-05,chemin Jacques Faure,Saint Nathalie,France,Europe,0808109667,36821,tessiercharlotte@noos.fr
101,Petitjean,Martine,1966-11-04,2012-10-05,"70, rue de Roger",Fleury,France,Europe,,22843,briandelodie@blanchet.com
102,Carpentier,Inès,1958-11-25,2014-03-06T14:30:56.287485,"4, chemin Vallée",Sainte GuyBourg,France,Europe,0172920909,20726,dbreton@benoit.fr
103,Perez,Luce,2000-01-14,2019-11-06,"44, avenue de Hamel",Bertin-la-Forêt,France,Europe,+33 (0)1 81 18 00 46,65393,hsamson@tele2.fr
104,Mendès,Virginie,1987-05-22,2019-08-11,avenue Mathilde Allain,Sauvage,France,Europe,,42557,thierry96@mercier.com
105,Dumont,Audrey,1974-08-19,2011-03-05,"230, rue Richard Ferrand",Sainte HenrietteVille,France,Europe,01 14 95 12 89,39577,wtecher@free.fr
106,Thomas,Élise,1954-10-17,2015-08-15,"25, boulevard de Labbé",Ferrand,France,Europe,+33 1 11 70 74 25,23112,thierry43@bouygtel.fr
107,Dufour,Christiane,1972-12-12,2010-06-21,"194, rue Antoine Peltier",Parentnec,France,Europe,0473385630,03640,mercieredith@fontaine.org
108,Voisin,Benoît,1938-05-12,2020-03-04,"186, avenue Vallet",Brunet-sur-Guibert,France,Europe,+33 (0)3 17 90 05 32,88456,constance88@dijoux.com
109,Bertrand,Alex,1974-08-13,2013-08-26,"795, boulevard de Rodriguez",Saint Antoine,France,Europe,06 46 96 63 79,47063,chantal25@gmail.com
110,Chrétien,Charles,1973-11-14,2018-05-21,"27, rue Alix Guyot",Aubertboeuf,France,Europe,+33 8 06 46 94 08,87485,thibaut04@hernandez.fr
111,Lebon,Danielle,1960-11-15,2015-05-24,"838, chemin Roger",Lesage-sur-Auger,France,Europe,+33 8 02 31 69 82,80993,adeledijoux@sfr.fr
112,Morvan,Marie,1991-11-14,2015-07-14,"73, avenue Aubert",Delattre,France,Europe,04 95 72 14 90,18951,stephanegermain@tele2.fr
113,Lopes,Frédéric,1956-11-11,2018-10-26,"59, chemin Pascal",Dupuisdan,France,Europe,0259847121,48681,laetitiasauvage@blanchet.com
114,Guillou,Manon,1959-08-06,2019-11-25,"9, rue Berthelot",Joubert,France,Europe,+33 (0)3 70 40 89 33,99742,auguste44@ifrance.com
115,Rémy,Denise,2004-07-10,2010-12-07,"8, chemin Foucher",Joseph,France,Europe,,41949,pcohen@free.fr
116,Schmitt,Henriette,1981-12-30,2012-09-20,"9, boulevard Isaac Dumont",Sainte Alexandre,France,Europe,0807342682,92830,jdias@rolland.net
117,Potier,Aimé,1953-04-20,2009-03-13,"317, rue de Pineau",Vaillant,France,Europe,+33 5 98 94 61 57,16907,lombardzacharie@wanadoo.fr
118,Garcia,Théophile,1946-11-03,2009-09-28,rue Victor Pascal,Muller,France,Europe,05 73 99 49 99,50009,bernardmarchand@bouygtel.fr
119,Pereira,Jacqueline,1983-12-25,2014-03-06T14:30:56.287485,"73, chemin de Cordier",Sainte Clémence,France,Europe,+33 4 45 20 38 06,12338,margotleduc@ruiz.fr
120,Mahe,Josette,1967-01-05,2014-03-06T14:30:56.287485,"65, rue de Regnier",Gros,France,Europe,0157649942,92627,yvidal@diallo.com
121,Goncalves,Lorraine,2005-12-15,2016-07-16,"8, avenue Capucine Mathieu",Saint LéonBourg,France,Europe,05 29 43 99 11,21941,otoussaint@bouvet.org
122,Schneider,Maryse,1986-04-01,2020-09-05,"855, avenue de Morel",Sainte Gilbert,France,Europe,+33 1 93 37 40 62,97427,roger55@pascal.org
123,Goncalves,Aurélie,1963-10-21,2013-05-07,"99, rue Robert Laporte",Saint CélineVille,France,Europe,+33 4 38 22 57 86,42759,rochemichelle@blanchard.fr
124,Marques,Manon,1948-03-26,2011-10-03,rue Océane Clément,Gimenez-sur-Mer,France,Europe,+33 (0)8 04 59 29 02,65895,guibertelisabeth@payet.fr
125,Mathieu,Amélie,1950-07-08,2011-02-20,chemin de Joly,Pierre-sur-Fleury,France,Europe,+33 5 34 75 23 30,95124,stephane73@leger.com
126,Perez,Christophe,1971-05-04,2011-04-13,"6, rue de Maury",Renault,France,Europe,+33 (0)4 43 79 66 59,31172,aramos@guyon.com
127,Leconte,Charlotte,1964-05-03,2010-10-11,"64, avenue de Pierre",Pierredan,France,Europe,05 92 27 00 28,88918,denis97@orange.fr
128,Deschamps,Josette,1979-05-20,2017-08-04,"121, boulevard de Mallet",Mathieu,France,Europe,+33 3 06 37 79 70,88399,rjean@antoine.com
129,Cohen,Diane,1948-09-28,2012-03-12,"82, avenue Christophe Blanchard",Morvan-la-Forêt,France,Europe,02 50 05 34 45,77057,auroreblanc@chauveau.com
130,Aubry,Laurence,1936-03-17,2011-06-19,"91, avenue de Noël",Joseph-les-Bains,France,Europe,+33 2 03 89 67 04,09949,evrardhugues@pascal.fr
131,Riou,Édith,1971-04-28,2014-03-06T14:30:56.287485,"4, chemin Barthelemy",Colas,France,Europe,,85483,monique28@valentin.com
132,Laine,Danielle,1990-08-24,2010-01-27,"7, rue Noémi Alexandre",Poirier,France,Europe,08 04 28 00 76,74495,lacombematthieu@dupont.com
133,Louis,Daniel,1951-04-12,2022-10-17,"54, rue Langlois",Morin,France,Europe,+33 1 65 01 18 02,29013,monnierroland@perrot.com
134,Renaud,Anne,1948-10-29,2019-06-27,boulevard Barbe,Guichard,France,Europe,+33 (0)3 27 56 08 23,34418,lcohen@dbmail.com
135,Goncalves,Laurent,1998-08-10,2019-02-17,"50, avenue de Berthelot",Martins-sur-Mer,France,Europe,+33 4 68 51 08 26,89341,fouchermargaret@lesage.com
136,Raymond,Odette,1951-04-28,2021-04-19,"252, boulevard Astrid Clerc",Robin,France,Europe,+33 8 07 79 69 81,76702,louisaubert@pelletier.fr
137,Bazin,Martine,1986-08-29,2018-08-10,"1, avenue Alain Lebrun",PeronVille,France,Europe,0114096639,78733,aubertines@laposte.net
138,Neveu,Stéphane,1986-11-30,2011-02-03,"865, rue de Bruneau",Regnier,France,Europe,,77752,aleger@rodrigues.com
139,Thierry,Nathalie,1941-07-11,2016-10-25,"83, rue Dijoux",Jean,France,Europe,,62702,lefebvrevirginie@charrier.org
140,Ruiz,Adèle,2001-03-24,2010-06-14,chemin de Le Gall,Sainte Jeannine,France,Europe,01 37 28 19 95,09218,genevievehernandez@blanc.net
141,Fernandez,Nathalie,1952-07-22,2022-07-24,"42, chemin de Hernandez",Saint AlexandreVille,France,Europe,+33 1 13 28 90 16,77432,legrosnath@denis.fr
142,Lamy,Roger,1941-11-15,2015-11-15,chemin Jérôme Lefèvre,Raynaud-les-Bains,France,Europe,01 57 37 31 20,94466,louis46@dupre.net
143,Techer,Jules,1970-04-12,2009-10-18,"75, boulevard Véronique Michaud",Pintodan,France,Europe,+33 4 19 34 07 43,47278,zachariemartineau@gaillard.net
144,Noël,Julie,1994-07-02,2020-09-06,"386, rue de Jacques",Guyot,France,Europe,,83391,guillaume82@tele2.fr
145,Pelletier,Yves,1975-11-06,2023-11-27,"98, rue Célina Guillet",Fernandez-sur-Olivier,France,Europe,,20779,guillotstephane@foucher.net
146,Vallée,Émile,1941-10-31,2014-03-07,"1, boulevard de Clerc",Martel,France,Europe,,74560,elise63@benard.fr
147,Guillon,Marcelle,1985-09-06,2012-07-29,"61, avenue de Bruneau",Guérin,France,Europe,01 61 20 41 37,37267,adelaide40@bouvet.org
148,Lelièvre,Timothée,1973-09-29,2019-08-24,"88, rue Luc Laporte",Lambert-sur-Mer,France,Europe,+33 (0)8 02 85 48 92,78292,psauvage@free.fr
149,Potier,Frédérique,2005-11-07,2016-12-26,"9, boulevard de Neveu",Antoineboeuf,France,Europe,+33 (0)4 64 26 37 24,52618,maryse95@aubry.fr
150,Masse,Georges,1964-10-25,2020-09-23,"3, rue Monique Lemonnier",Mercier,France,Europe,+33 8 04 58 69 42,83395,payethortense@orange.fr
151,Olivier,Tristan,1954-08-28,2013-01-17,"870, avenue de Petitjean",Saint Adrienne,France,Europe,06 33 14 15 59,43667,micheledumont@thierry.org
152,Bernard,Marine,1971-09-09,2013-11-23,"399, avenue Nguyen",BrunelBourg,France,Europe,+33 1 40 54 86 42,52608,xaubert@ifrance.com
153,Raymond,Robert,1995-03-31,2010-01-29,avenue de Courtois,Laroche,France,Europe,05 28 16 42 52,89512,rlaunay@lopez.fr
154,Gosselin,Agnès,2002-06-10,2014-03-06T14:30:56.287485,"15, boulevard de Lévy",Gimenezboeuf,France,Europe,0131475250,97383,victor60@marion.org
155,Neveu,Émilie,1997-12-24,2014-03-06T14:30:56.287485,avenue Payet,FaureBourg,France,Europe,0507953711,41847,zoe20@boulay.net
156,Fournier,Juliette,1991-12-11,2009-06-21,"18, boulevard Alfred Bouvier",Texier-sur-Petit,France,Europe,,42394,joseph05@lefebvre.fr
157,Dupuis,Charlotte,1981-01-31,2014-03-06T14:30:56.287485,"52, avenue Timothée Rémy",Saint Yves,France,Europe,0112880781,35406,margueriteledoux@gaudin.fr
158,Bruneau,Louise,1940-12-13,2020-03-24,"771, boulevard Bègue",Guérinnec,France,Europe,+33 (0)2 78 73 24 23,74930,tbigot@guerin.fr
159,Charrier,Alfred,1993-01-09,2018-10-31,"44, boulevard Maillot",Masson-la-Forêt,France,Europe,+33 5 46 36 82 52,46619,paulette96@besnard.com
160,Rossi,Josette,1990-03-19,2022-11-19,"24, rue Payet",Vasseur,France,Europe,0806521680,53779,mariannelemaire@potier.fr
161,Henry,Victor,1976-01-07,2010-10-15,"2, boulevard Émilie Roche",Ferrand,France,Europe,05 03 95 54 40,12096,berthelotgilbert@navarro.com
162,Parent,Margaret,2002-10-20,2014-03-06T14:30:56.287485,"99, boulevard de Boyer",Saint Christinedan,France,Europe,0685934808,14298,pdiallo@tiscali.fr
163,Leclercq,Pauline,1962-03-24,2015-10-30,"336, chemin Amélie Valette",Weiss,France,Europe,+33 (0)3 74 12 24 05,21529,treynaud@hotmail.fr
164,Bruneau,Brigitte,1976-02-18,2013-03-29,rue de Langlois,Guichard,France,Europe,+33 1 56 64 34 21,53314,robertfernandez@pierre.fr
165,Descamps,Isabelle,1971-04-15,2015-08-03,"20, avenue Benoît Aubert",Mallet,France,Europe,+33 5 47 77 78 62,38887,rodriguezcatherine@poulain.com
166,Delaunay,Bertrand,2003-09-28,2009-05-20,"9, rue Marty",Saint Hugues,France,Europe,+33 1 81 53 89 55,91940,iclerc@pascal.fr
167,Baron,Henri,1936-06-15,2016-12-14,"18, avenue Dominique Baron",Carlier,France,Europe,08 03 71 75 16,99291,coulonanais@sfr.fr
168,Boucher,Alexandre,1981-11-27,2009-12-07,"66, rue Dumont",Lambert,France,Europe,+33 4 46 31 26 59,28849,colletgenevieve@hotmail.fr
169,Seguin,Maurice,2001-05-06,2014-10-16,"75, rue Laurence Chevalier",Boyer,France,Europe,,23878,boulayjulien@orange.fr
170,Jean,Véronique,1983-01-25,2021-06-12,"79, boulevard Dumont",Jacques,France,Europe,,90115,timotheepichon@lecoq.com
171,Laine,Agnès,1969-01-11,2015-11-13,"4, rue Marcel Roger",Lefebvre,France,Europe,01 20 69 34 59,41920,anoukboulanger@hamon.fr
172,Sanchez,Émilie,1961-04-29,2018-05-16,"98, rue Leconte",Ferrand-sur-Arnaud,France,Europe,01 51 26 63 61,92519,etiennelouis@voila.fr
173,Marchand,Adrienne,2000-09-15,2014-03-06T14:30:56.287485,"26, boulevard de Devaux",GauthierBourg,France,Europe,08 08 44 79 26,21925,alexandreledoux@deschamps.com
174,Jourdan,Olivie,1971-12-30,2017-01-11,"82, boulevard Robin",Le Goff,France,Europe,+33 (0)3 61 03 73 93,07886,adrienleroux@leclerc.com
175,Dupuy,Constance,1982-10-18,2009-12-19,"33, rue de Blanchet",Sainte Marcelle,France,Europe,04 35 63 08 00,48649,clemencecollet@chauvin.org
176,Vaillant,Patrick,1945-10-17,2019-09-03,"673, rue Bertrand",Chrétien,France,Europe,0477649728,92845,michelguillet@tiscali.fr
